CTRL	2119880	060704780001000	ISL	20220124120001	20220124120001	SSCOMMUNICATION	IN	UTF-8
HDR	20220124	2119880	T2
DTL	MLLH3HN/A	359481982414699			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4193	20220120
DTL	MGJA3HN/A	356781402737675			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402098052			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402470434			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402695618			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402893528			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112846508			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402919331			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402601996			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067111769867			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112934247			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402229012			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112973310			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112812856			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402375104			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781403356921			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112628310			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112621935			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402948918			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402394675			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402769868			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402197730			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402665470			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402628627			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402898295			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781403075646			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781401542050			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781403186674			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112202991			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402484195			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112291317			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067111616662			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781403082980			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112012044			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112845922			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112319985			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067111789972			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112294592			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112612942			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402299171			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402751452			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402982453			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402056209			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402592542			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067111676468			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112714565			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402816263			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112897550			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402157577			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112509429			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112644655			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402006220			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	353067112966330			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781403195956			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MGJA3HN/A	356781402171339			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4195	20220119
DTL	MLPH3HN/A	351044634580826			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044633158665			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044631281543			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044631292136			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632842640			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044630090150			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044633007722			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044633468106			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632833656			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351843199413053			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632340637			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632256767			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632492461			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351843199893726			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632408350			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351843199734367			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351843199876002			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632463157			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632740828			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044632850957			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4196	20220122
DTL	MLPH3HN/A	351044637192462			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637098008			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044631661702			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044633191062			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637677652			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637204317			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637884654			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	352355500344819			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637152011			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637849350			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637379127			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044633114080			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637991715			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044636737317			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	352355500464989			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637198857			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	352355500693470			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637972160			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044631504324			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044633342111			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPH3HN/A	351044637456073			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4197	20220119
DTL	MLPJ3HN/A	351044639501066			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351974970719366			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	356177150214027			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351044637755664			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351974970654670			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351974971037354			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351044639396939			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351044637266225			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351044638942006			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLPJ3HN/A	351044637481832			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLK23HN/A	358082907388991			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLK23HN/A	358082906869017			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLK33HN/A	358082906738253			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLK33HN/A	358082906601881			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MLK43HN/A	358082907235390			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4198	20220122
DTL	MGJ83HN/A	352377997848284			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4199	20220120
DTL	MLL93HN/A	353324654442315			KOLHAPUR		20220124	INV/IN/2022-23/GDRW/4199	20220120
