CTRL	2119880	060704780001000	ISL	20211011120010	20211011120010	SSCOMMUNICATION	IN	UTF-8
HDR	20211011	2119880	T2
DTL	MLK43HN/A	354329700446888			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2606	20211005
DTL		355708331314111			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352604709548039			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355708331927920			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355125539754248			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		352604709690286			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL		355091848124103			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2618	20211010
DTL	MLLD3HN/A	353652738407304			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2622	20211009
DTL	MLK03HN/A	352929593780897			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2623	20211009
DTL	MLK03HN/A	352929594092482			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2623	20211009
DTL	MLK03HN/A	352929593811270			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2623	20211009
DTL	MLK03HN/A	352929593817871			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2623	20211009
DTL	MLK63HN/A	352929593919289			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2624	20211009
DTL	MLVP3HN/A	350165053411275			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2625	20211008
DTL	MLVP3HN/A	350165053845894			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2625	20211008
DTL	MHDG3HN/A	354396709609584			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	358989495679179			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	358989497457392			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709935898			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	357771779824437			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709889541			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709747640			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709500668			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	358989495559868			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709826394			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	355708331971159			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354396709729317			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	358989495524284			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	358989495957500			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	355091849145933			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	356157216200814			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	351082464639759			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	356157216572774			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	356157216145225			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	356157216165942			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	351082466378604			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	356157216662344			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354790157725621			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	351082466422329			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MHDG3HN/A	354790157912732			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2626	20211007
DTL	MLVV3HN/A	353084309975743			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2627	20211009
DTL	MLLH3HN/A	355908663668643			KOLHAPUR		20211011	INV/IN/2021-22/GDRW/2628	20211009
