CTRL	2119880	060704780001000	ISL	20211104120011	20211104120011	SSCOMMUNICATION	IN	UTF-8
HDR	20211104	2119880	T2
DTL	MLQ63HN/A	350038446527075			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3056	20211102
DTL	MGJH3HN/A	353035111906581			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3061	20211103
DTL	MGJG3HN/A	356753565977109			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753566306480			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753567694538			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	353490239415553			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	353490239714484			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	353490239283365			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753565413980			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753566438291			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753566521070			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MGJG3HN/A	356753567170513			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3062	20211103
DTL	MLK23HN/A	352929598905788			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599427824			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598848202			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599180407			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599118886			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598979916			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598623241			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598837775			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598773020			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599436213			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599129719			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599359027			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598569394			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599024639			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598996845			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929599068065			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MLK23HN/A	352929598800880			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3063	20211103
DTL	MGJF3HN/A	352014967484077			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014964778968			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738108884			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738203420			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738603520			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014967177044			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738057990			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738367209			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014964790096			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738783835			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738105260			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014964817204			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738914125			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738158954			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738352540			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738928083			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014966673308			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738631596			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738723534			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738196814			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738580546			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738161339			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014966086113			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738209252			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014967371233			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738159648			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738622231			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738530061			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738176451			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738504652			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738919694			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738246825			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014967492542			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014967295358			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014964512565			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014967229985			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738276962			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738286326			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	353361738204006			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
DTL	MGJF3HN/A	352014966691003			KOLHAPUR		20211104	INV/IN/2021-22/GDRW/3068	20211030
