"Branch","Category","Brand","Product","IMEI/SRNO","Qty","Sender Branch","Status","Variant id"
"CHIPLUN 1","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463385895","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463386240","1","","In Branch","1429"
"PALUS","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463386919","1","","In Branch","1429"
"PETH VADGAON","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463387008","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388402","1","","In Branch","1429"
"RAJARAMPURI 2","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388428","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388451","1","","In Branch","1429"
"LATUR 2","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388535","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388584","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388634","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388683","1","","In Branch","1429"
"VITA 1","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463388741","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463389954","1","","In Branch","1429"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463389996","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463390051","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463390143","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463393576","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463394822","1","","In Branch","1429"
"RANKALA","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463394871","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463395175","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463395191","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463395639","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463396652","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463398104","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463398294","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463398542","1","","In Branch","1429"
"GANDHINAGAR Warehouse","Mobiles","SAMSUNG","SAMSUNG Galaxy Note 20 8GB 256GB Mystic Blue (Diwali Edition)","'356214463399227","1","","In Branch","1429"
"MIRA ROAD East","Mobiles","SAMSUNG","SAMSUNG Galaxy S10 Lite 8GB 512GB Prism Black","'355271110614177","1","","In Branch","329"
"TULJAPUR","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746121709","1","","In Branch","333"
"VITA 1","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746144867","1","","In Branch","333"
"SANGAMNER","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746147522","1","","In Branch","333"
"SINNAR","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746147597","1","","In Branch","333"
"ISLAMPUR 1","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746150302","1","","In Branch","333"
"ICHALKARANJI 2","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746156705","1","","In Branch","333"
"SHIVAJI ROAD","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746157687","1","","In Branch","333"
"HADAPSAR","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 FE 8GB 128GB Cloud Navy","'358818746164329","1","","In Branch","333"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 Ultra 5G 12GB 128GB Cosmic Gray","'354896110811083","1","","In Branch","336"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 Ultra 12GB 128GB Cloud White","'355631110003640","1","","In Branch","997"
"SANGLI 1","Mobiles","SAMSUNG","SAMSUNG Galaxy S20 Ultra 12GB 128GB Cloud White","'355631110004820","1","","In Branch","997"
"TULJAPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709647259","1","","In Branch","482"
"MARGAO 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709647309","1","","In Branch","482"
"WAKAD","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709687693","1","","In Branch","482"
"INDAPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709687792","1","","In Branch","482"
"WAKAD","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709687925","1","","In Branch","482"
"KARAD 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709966410","1","","In Branch","482"
"SATARA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709966436","1","","In Branch","482"
"KARAD 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709966659","1","","In Branch","482"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709975908","1","","In Branch","482"
"SAWANTWADI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980593","1","","In Branch","482"
"HUPARI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980635","1","","In Branch","482"
"HUPARI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980668","1","","In Branch","482"
"ISLAMPUR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980676","1","","In Branch","482"
"SHIVAJI ROAD","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980700","1","","In Branch","482"
"ISLAMPUR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980726","1","","In Branch","482"
"ISLAMPUR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980742","1","","In Branch","482"
"PANDHARPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980767","1","","In Branch","482"
"ISLAMPUR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980783","1","","In Branch","482"
"BINDU CHOWK","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980791","1","","In Branch","482"
"BINDU CHOWK","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980809","1","","In Branch","482"
"ISLAMPUR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709980965","1","","In Branch","482"
"SATARA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'353817709982292","1","","In Branch","482"
"NASHIK 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790142899","1","","In Branch","482"
"PIMPRI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790318770","1","","In Branch","482"
"SANGAMNER 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790318838","1","","In Branch","482"
"VASCO","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790318903","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790318960","1","","In Branch","482"
"MIRAJ 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790320602","1","","In Branch","482"
"VASCO","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321105","1","","In Branch","482"
"SANGLI 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321238","1","","In Branch","482"
"KOREGAON","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321246","1","","In Branch","482"
"SANGLI 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321253","1","","In Branch","482"
"SANGLI 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321410","1","","In Branch","482"
"PHALTAN 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321543","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321626","1","","In Branch","482"
"SATARA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321667","1","","In Branch","482"
"SANGAMNER","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790321675","1","","In Branch","482"
"PHALTAN 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322160","1","","In Branch","482"
"ICHALKARANJI 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322202","1","","In Branch","482"
"MARGAO 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322285","1","","In Branch","482"
"MARGAO 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322335","1","","In Branch","482"
"RANKALA","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322343","1","","In Branch","482"
"MIRAJ 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322368","1","","In Branch","482"
"SOLAPUR 4","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322459","1","","In Branch","482"
"GANDHINAGAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322525","1","","In Branch","482"
"SOLAPUR 4","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322707","1","","In Branch","482"
"SATARA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322798","1","","In Branch","482"
"SOLAPUR 4","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322871","1","","In Branch","482"
"GANDHINAGAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790322954","1","","In Branch","482"
"KHED","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324000","1","","In Branch","482"
"MARGAO 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324034","1","","In Branch","482"
"SANGLI 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324125","1","","In Branch","482"
"SHIVAJI ROAD","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324240","1","","In Branch","482"
"KAWATHE MAHNKAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324810","1","","In Branch","482"
"JAYSINGPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790324851","1","","In Branch","482"
"MANCHAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790326054","1","","In Branch","482"
"PHALTAN 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790326963","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790327979","1","","In Branch","482"
"BARSHI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790332367","1","","In Branch","482"
"BARSHI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790332482","1","","In Branch","482"
"SHRIRAMPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790332771","1","","In Branch","482"
"CHIPLUN 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790333712","1","","In Branch","482"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790333886","1","","In Branch","482"
"MIRAJ 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790333936","1","","In Branch","482"
"VITA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790333977","1","","In Branch","482"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334017","1","","In Branch","482"
"PANAJI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334033","1","","In Branch","482"
"GANDHINAGAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334348","1","","In Branch","482"
"KANKAVALI 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334421","1","","In Branch","482"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334553","1","","In Branch","482"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334751","1","","In Branch","482"
"MIRAJ 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790334769","1","","In Branch","482"
"ICHALKARANJI 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790335030","1","","In Branch","482"
"KAGAL","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790335378","1","","In Branch","482"
"VITA 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790342325","1","","In Branch","482"
"JATH","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790342614","1","","In Branch","482"
"GADHINGLAJ","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790344636","1","","In Branch","482"
"VADUJ","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790345203","1","","In Branch","482"
"LATUR 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790346524","1","","In Branch","482"
"LATUR 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790346656","1","","In Branch","482"
"RAJARAMPURI 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790348470","1","","In Branch","482"
"SANGAMNER","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790348983","1","","In Branch","482"
"MANGALWEDHA","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790352639","1","","In Branch","482"
"NASHIK 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790352670","1","","In Branch","482"
"SANGAMNER","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790353710","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790353751","1","","In Branch","482"
"NAGAR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790353777","1","","In Branch","482"
"NAGAR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354312","1","","In Branch","482"
"NAGAR 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354379","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354403","1","","In Branch","482"
"KOREGAON","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354601","1","","In Branch","482"
"NAGAR 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354643","1","","In Branch","482"
"VADUJ","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354650","1","","In Branch","482"
"NAGAR 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354676","1","","In Branch","482"
"SANGOLA","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354742","1","","In Branch","482"
"SANGOLA","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354759","1","","In Branch","482"
"BINDU CHOWK","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354809","1","","In Branch","482"
"PETH VADGAON","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790354957","1","","In Branch","482"
"RATNAGIRI 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356796","1","","In Branch","482"
"RATNAGIRI 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356820","1","","In Branch","482"
"ICHALKARANJI 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356838","1","","In Branch","482"
"MIRAJ 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356853","1","","In Branch","482"
"VITA 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356929","1","","In Branch","482"
"TASGAON 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790356945","1","","In Branch","482"
"RATNAGIRI 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790357042","1","","In Branch","482"
"MUDHAL TITTA","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359196","1","","In Branch","482"
"CHIPLUN 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359204","1","","In Branch","482"
"SHAHUPURI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359212","1","","In Branch","482"
"BINDU CHOWK","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359253","1","","In Branch","482"
"AKLUJ","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359394","1","","In Branch","482"
"HADAPSAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359428","1","","In Branch","482"
"HUPARI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359436","1","","In Branch","482"
"RAJARAMPURI 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359469","1","","In Branch","482"
"SAWANTWADI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359667","1","","In Branch","482"
"J M ROAD","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790359717","1","","In Branch","482"
"MARGAO 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790362430","1","","In Branch","482"
"SOLAPUR 2","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790362505","1","","In Branch","482"
"CHIPLUN 3","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790364261","1","","In Branch","482"
"INDAPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790519906","1","","In Branch","482"
"INDAPUR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790519963","1","","In Branch","482"
"SOLAPUR 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790520003","1","","In Branch","482"
"MANCHAR","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790542106","1","","In Branch","482"
"ICHALKARANJI 1","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790542353","1","","In Branch","482"
"PIMPRI","Mobiles","SAMSUNG","SAMSUNG Guru E1200 Indigo Blue","'357895790542569","1","","In Branch","482"
